글로벌문화콘텐츠학과,글로벌문화,글로벌콘텐츠,문화콘텐츠,글로벌문화콘텐츠,글문,글콘,문콘,글문콘
뮤직테크놀로지학과,abwlr,abwlrxpzmshffhwl,뮤테놀,뮤테,뮤직,테크놀로지무직,무직,
공연예술경영학과,rhddus,공예경,예경,공예,공연,예술,경연,
소설창작학과,thtjf,소작,소창,창작,소설,,,
웰스매니지먼트학과 ,dnpftm,웰스,매니지,웰스매니지,메니지,웰스매니지먼트,웰매,웰매과
글로벌부동산학과,글로벌부동산,부동산,글부,글부과,,,,
보건서비스경영학과,qhrjs,보건,보건서비스,보건경영,보건서비스경영,서비스경영,,
국어교육학과,국교과,,,,,,,
한국학과,gksrnr,한국,한국과,,,,,
교육학과,rydbr,교육,교육과,,,,,
지리학과,wlfl,지리,지리과,,,,,
문헌정보학과,ansgjs,문헌,문헌정보,문정,문정과,,,
행정학과,godwjd,행정,행정과,,,,,
경제학과,rudwp,경제,경제과,,,,,
경영학과,ruddud,경영,경영과,,,,,
국제통상학과,rnrwp,rnrwpxhdtkd,국제,국제통상,국통,국통과,,
가족복지학과,rkwhr,rkwhrqhrwl,가족,가족복지,복지,가복,가복과,
저작권보호학과,wjwkrrnjs,저작권,저작권보호,저보,저보과,,,
부동산학과,qnehdtks,부동산,,,,,,
국가안보학과,rnrrk,rnrrkdksqh,국가 ,국가안보,국안,국안과,,
화학과,ghkgkr,화학,,,,,,
생명과학과,todaud,todaudrhkgkr,생명,생명과학,생과,,,
컴퓨터과학과,zjavbxj,zjavbxjrhkgkr,컴퓨터,컴퓨터과학,컴과,,,
외식영양학과,dhltlr,dhltlrduddid,외식,외식경영,외영,외영과,,
글로벌생활환경학과,글로벌부동산,글로벌생활,글로벌생활환경,글생환,,,,
게임학과,rpdla,게임,,,,,,
화공신소재학과,ghkrhd,ghkrhdtlsthwo,화공,화공신소재,화신,,,
감성공학과,rkatjd,rkatjdrhdgkr,감성,감성공학,감공,,,
에너지그리드학과,dpsjwl,rmflem,dpsjwlrmflem,에너지,에너지그리드,에그,,
데이터사이언스학과,epdlxj,tkdldjstm,epdlxjtkdldjstm,데이터,사이언스,데사,,
스포츠ICT융합학과,tmvhcm,스포츠,스포츠ICT,스포츠ICT융합,ICT,스융,,
조형예술학과,whgud,whguddPtnf,조형,조형예술,조예,,,
생활예술학과,todghkfdPtnf,생활,생활예술,생예,,,,
음악학과,dmadkr,음악과,음악,,,,,
뉴미디어음악학과,sbaleldj,aleldj,뉴미디어,뉴미디어음악,뉴음,,,
체육학과,cpdbrgkrrhk,,,,,,,
디지털이미지학과,elwlxjf,dlalwl,디지털,이미지,디지털이미지,,,
교직,rywlr,,,,,,,
국어교육전공,rnrdjrydbr,,,,,,,
영어교육전공,duddj,영어,영어교육,영고,,,,
일본어교육전공,dlfqhsdj,dlfqhsdjrydbr,일본어 ,일본어교육,일교,,,
중국어교육전공,wndrnrdj,wndrnrdjrydbr,중국어,중국어교육,중교,,,
수학교육전공,tngkr,tngkrrydbr,수학,수학교육,수교,,,
역사교육전공,durtk,durtkrydbr,역사,역사교육,역교,,,
사서교육전공,tktj,tktjrydbr,사서,사서교육,사교,,,
체육교육전공,cpdbrrydbr,체육교육,체교,,,,,
미술교육전공,altnf,미술,미술교육,,,,,
음악교육전공,dmadkrrydbr,음악교육,음교,,,,,
영양교육전공,duddid,duddidrydbr,영양,영양교육,,,,
상담심리전공,tkdeka,tlafl,tkdekatlafl,상담,심리 ,상담심리,상심,상심과
외국어로서의한국어교육전공,dhlrnrdj,외국어,한국어교육,외국어로서의한국어교육,한국어교육전공,외국어로서의한국,,
