주제별연구세미나,,주연,주연세,,,,,,,,,
싱어송라이팅,,싱송,,,,,,,,,,
디지털오디오와이펙트,,디오,디털,디오펙,디오이,,,,,,,
실용연주세미나,,실연,실연세,,,,,,,,,
라이브퍼포먼스,,라퍼,,,,,,,,,,
뮤직테크놀로지연구,,뮤테,뮤테놀,테놀,뮤테연,테연,,,,,,
레코딩,,,,,,,,,,,,
장르별스타일연구,,장스연,스연,장연,장스,,,,,,,
음향공학,,음공,,,,,,,,,,
고급화성학,,고학,고화,,,,,,,,,
실용음악분석,,음분,실음,실분,,,,,,,,
A&R프로젝트,,프젝,에프,,,,,,,,,
실용미디실습,,실미,미실,실미실,,,,,,,,
월드뮤직,,월뮤,,,,,,,,,,
영화&드라마음악제작,,영드,영드음,영작,,,,,,,,
사운드신세시스,,사신,사스,,,,,,,,,
스트링편곡기법2,,스편,스편기,스편2,편기,,,,,,,
고급뮤직프로덕션,,고뮤프,고뮤,뮤프,고프,,,,,,,
믹싱&마스터링,,믹마,,,,,,,,,,
방송음향,,방음,,,,,,,,,,
실용화성학,,실학,실화,실화학,,,,,,,,
리듬연구,,리연,,,,,,,,,,
고급편곡기법,,고편,편기,고편기,,,,,,,,
영화음악분석연구,,영음,영분,영음분,,,,,,,,
합주실기4,,합실4,합실,,,,,,,,,
전공실기4(보컬),,전실 보컬,보컬 전실,,,,,,,,,
전공실기4(건반),,전실 건반,건반 전실,,,,,,,,,
전공실기4(드럼),,전실 드럼,드럼 전실,,,,,,,,,
전공실기4(기타),,전실 기타,기타 전실,,,,,,,,,
공연예술인턴쉽2,,공예인,예인,공예,예인2,공예2,공예인2,,,,,
공연전공 세미나2,,공전세2,공전2,공세2,공전세,공전,공세,,,,,
공연기획과 제작,,공기제,공기,공제,공작,기작,,,,,,
세계공연예술사,,세공예,세공사,공사,세공,,,,,,,
무용공연 기획실습,,무공기,무공,공기,무공습,무기,무습,공습,,,,
무용예술경영 전공연구1,,전연,무예경,예경,무경,,,,,,,
문화콘텐츠 기획과 경영,,기경,문기,,,,,,,,,
예술가 매니지먼트,,예매,,,,,,,,,,
전통공연예술특강,,전공예특,전공,전예,전특,전공예,전공예특,전예특,공예,공특,공예특,예특
전통문화상품개발,,전문상개,전문,전상,전개,전문상,전문개,문상,문개,문상개,상개,
문화콘텐츠기획론,,문콘기,콘기,문콘론,콘기,,,,,,,
전통문화콘텐츠,,전문콘,전콘,,,,,,,,,
대중예술론,,대예,대예론,예론,,,,,,,,
실용음악 작곡법2,,음작,음작2,실음작,실음작2,,,,,,,
워크샵1,,,,,,,,,,,,
